,NASDAQ,USD-GBP,USD-JPY,USD-CAD,Bitcoin
2018-01-01,,0.9574983805976802,1.0303122381700123,0.9511107966287385,0.5066856352078225
2018-01-02,0.8011470514025338,0.9578348567323519,1.0312632671975805,0.9491602766163602,0.46187851404536373
2018-01-03,0.8107516898326996,0.9518558100394279,1.0264531436374857,0.9452971781396887,0.45522706089291826
2018-01-04,0.8215046284299455,0.9578348567323519,1.029772710074481,0.9485479847453581,0.4436071700567519
2018-01-05,0.8269332678478332,0.9548971315803952,1.031382154547223,0.9442689711988198,0.39702300669903484
2018-01-08,0.8347630867855214,0.9532793925853622,1.0347749092646026,0.9369282279299451,0.4561543381205337
2018-01-09,0.8369554265301897,0.9536029866671933,1.03465602191496,0.93854601588643,0.47411568341823884
2018-01-10,0.8480216247901343,0.9563465553700514,1.031126100220235,0.9429762548906576,0.4621497440190383
2018-01-11,0.8399829660773136,0.9577313374813823,1.0191372459210473,0.9473156504733411,0.5161880491973476
2018-01-12,0.8501095446472363,0.9556736031007081,1.0177655063780187,0.9464386689901616,0.49496534849872004
2018-01-15,0.8501095446472363,0.9423696051761735,1.0159914057168042,0.9420085201083761,0.5007241141751585
2018-01-16,0.8395653661760858,0.9379177374181943,1.0112452608536708,0.9392944827673062,0.6022288227731325
2018-01-17,0.8399829660773136,0.93787885984555,1.0094803000063082,0.9393473846407648,0.618478856473432
2018-01-18,0.8334059468433088,0.9358988034721234,1.01851538973128,0.9402772679974031,0.6030474468945312
2018-01-19,0.8359114666016386,0.9314080581415,1.0153147106439273,0.938296556966952,0.5961635324856432
2018-01-22,0.841757705920754,0.9316151737814801,1.0121871500673878,0.9439514698356258,0.6330307196609981
2018-01-23,0.8373730264314175,0.9254031702048541,1.0147660427345444,0.9413735173819879,0.6367003549684598
2018-01-24,0.8473951851137741,0.9232548757640917,1.0069106169225746,0.938523395153486,0.6091791978401326
2018-01-25,0.8474996050013403,0.9100415150376862,0.9997684454388882,0.9338512675149091,0.6145898506452168
2018-01-26,0.849378764732347,0.9145840199937945,1.0032252486228004,0.9356278512142122,0.6194310564478396
2018-01-29,0.8524063042794708,0.9146486616721197,0.9934859746138254,0.9308650603989752,0.6125768479391684
2018-01-30,0.8544942241365729,0.9193723638864453,0.9961105663502403,0.9324677979076449,0.6847127931132964
2018-01-31,0.8446809052293488,0.9142216254773599,0.994336465689026,0.9326114530802055,0.6770219858961463
2018-02-01,0.8494831846199131,0.9113486191417695,0.9986253407812928,0.9300335006265678,0.7545803655374782
2018-02-02,0.8387301663736302,0.9071166719385699,1.0005000491644462,0.9269036383380731,0.7836156172951614
2018-02-05,0.8087681102141268,0.9171075910038319,1.0062522014774007,0.9398614430499783,0.9949165554294237
2018-02-06,0.8113780498600228,0.9281338568548716,0.9976560321260212,0.9477163348505085,0.8924311996814107
2018-02-07,0.8066801107079876,0.927137387641738,1.0025210643387972,0.9453273691577614,0.9079699029439761
2018-02-08,0.7851742335134957,0.9324434049272778,0.9985796417120347,0.949916313782365,0.8371951425365628
2018-02-09,0.7945700321685291,0.9287162490641268,0.9924800369335758,0.951851693224486,0.7920254079955251
2018-02-12,0.8097076502551115,0.9359376810447678,0.9949583218787933,0.9515795234496219,0.7752038126354608
2018-02-13,0.8195210488113727,0.9342552232333685,0.9939523841985437,0.9508234862836171,0.804798844390789
2018-02-14,0.8326751669284194,0.9319257315343888,0.9854842420106582,0.9517307489073114,0.7288237892310133
2018-02-15,0.839147766274858,0.9233583950150612,0.9747207506937304,0.9437322019342205,0.6806646341484957
2018-02-16,0.8249496882292603,0.917573504771236,0.9703678271349309,0.9436415387575604,0.676175720182851
2018-02-19,0.8249496882292603,0.9223230482292835,0.9717395666779595,0.9492963615037922,0.6164568412993519
2018-02-20,0.8226530082460628,0.9248854968119651,0.9758364359097709,0.9500675392400544,0.6068125942235374
2018-02-21,0.8259937278068483,0.9243290229844728,0.9819817397574879,0.9561155662007669,0.6473016858700733
2018-02-22,0.8163890893766825,0.9303727884937631,0.9835729743720982,0.9599484736593656,0.6916451432442327
2018-02-23,0.840191805852446,0.9275126642110131,0.9767966745207624,0.9610294923512511,0.6717642429537036
2018-02-26,0.8525107241670371,0.9265161178598386,0.9791742819744692,0.9562289402328129,0.6675133789816607
2018-02-27,0.8528239041806986,0.9266197142488491,0.9791285829052111,0.9589126964333681,0.6451772608637202
2018-02-28,0.8430105056244375,0.9306445458120685,0.9823933104590964,0.96549749265868,0.6655107481661967
2018-03-01,0.831004767323508,0.9409201813865173,0.9752054399061519,0.9701771905823856,0.6318979682320525
2018-03-02,0.8413401060195262,0.9394706804588201,0.9708433765335008,0.9701091481386696,0.6241801739597902
2018-03-05,0.8536590243341172,0.938137735111015,0.9652924396644248,0.9743427399744358,0.5979205106110094
2018-03-06,0.8760001809801019,0.9342552232333685,0.9716389589560203,0.9812827988661431,0.6419269822391499
2018-03-07,0.8764177012322927,0.9310457407631064,0.9651187134316725,0.978939254884168,0.6943820132848864
2018-03-08,0.8859179197748922,0.9306315866211871,0.9710536620216594,0.9757110690114427,0.7365519050448763
2018-03-09,0.9033522974937092,0.9374130232161868,0.9730655373821586,0.9749475516827512,0.7410844715791448
2018-03-12,0.8966708583721382,0.9340481847314294,0.9775007890351942,0.9686046440917886,0.7517459695159432
2018-03-13,0.8899894192505672,0.9305410265610989,0.9717304268641079,0.9708650951822324,0.7525853877674936
2018-03-14,0.8808024603706662,0.9262314013506517,0.9739983565515953,0.9795515467551701,0.8367681831571754
